"","cntry","TIME","avgpolintr","avgtrstprl","avgtrstplt","avgtrstep","avgvote","avgcontplt","avgwrkprty","avgwrkorg","avgbadge","avgsgnptit","avgpbldmn","avgbctprd","avgclsprty","avgmmbprty","avgedulvla","avguempla","avguempli","avgdsbld","avgmbtru","GEO","AGE","UNIT","SEX","Value","Flag.and.Footnotes"
"36","DK",2010,2.43939393939394,6.25757575757576,5.21212121212121,5.81818181818182,NA,1.87878787878788,1.92424242424242,1.78787878787879,1.86363636363636,1.62121212121212,1.78787878787879,1.86363636363636,1.34848484848485,1.98484848484848,2.56060606060606,0.212121212121212,0.0606060606060606,0.0454545454545455,2.34848484848485,"Denmark","Less than 25 years","Percentage of active population","Total","13.9",""
"37","DK",2012,2.26923076923077,6.43589743589744,5.46153846153846,6.25641025641026,NA,1.96153846153846,1.8974358974359,1.82051282051282,1.91025641025641,1.74358974358974,1.92307692307692,1.76923076923077,1.37179487179487,NA,2.62820512820513,0.0897435897435897,0.0512820512820513,0.0128205128205128,2.42307692307692,"Denmark","Less than 25 years","Percentage of active population","Total","14.1",""
"38","DK",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denmark","Less than 25 years","Percentage of active population","Total","12.6",""
"39","EE",2004,2.71818181818182,4.87272727272727,3.88181818181818,5.85454545454545,NA,1.98181818181818,1.99090909090909,1.96363636363636,1.91818181818182,1.98181818181818,1.98181818181818,1.94545454545455,1.73636363636364,1.98181818181818,2.61818181818182,0.0454545454545455,0.00909090909090909,0,2.99090909090909,NA,NA,NA,NA,NA,NA
"40","EE",2006,2.98666666666667,4.74666666666667,3.70666666666667,6.04,NA,1.98666666666667,1.96,2,1.94666666666667,1.89333333333333,1.98666666666667,1.92,1.62666666666667,1.94666666666667,2.61333333333333,0.0533333333333333,0,0,2.98666666666667,"Estonia","Less than 25 years","Percentage of active population","Total","12.1",""
"41","EE",2008,2.74038461538462,4.33653846153846,3.44230769230769,5.41346153846154,NA,1.91346153846154,1.97115384615385,1.95192307692308,1.88461538461538,1.90384615384615,1.97115384615385,1.96153846153846,1.66346153846154,1.95192307692308,2.75,0.153846153846154,0.0673076923076923,0.0192307692307692,2.94230769230769,"Estonia","Less than 25 years","Percentage of active population","Total","12.0","i"
"42","EE",2010,3.00840336134454,4.46218487394958,3.49579831932773,5.41176470588235,NA,1.92436974789916,1.95798319327731,1.95798319327731,1.88235294117647,1.89915966386555,1.94957983193277,1.94957983193277,1.71428571428571,1.95798319327731,2.68067226890756,0.100840336134454,0.00840336134453781,0.0252100840336134,2.98319327731092,"Estonia","Less than 25 years","Percentage of active population","Total","32.9",""
"43","EE",2012,2.84615384615385,4.46153846153846,3.52136752136752,5.64102564102564,NA,1.93162393162393,1.94017094017094,1.94017094017094,1.92307692307692,1.8974358974359,1.90598290598291,1.94017094017094,1.69230769230769,NA,2.94871794871795,0.102564102564103,0.0512820512820513,0.0256410256410256,2.96581196581197,"Estonia","Less than 25 years","Percentage of active population","Total","20.9",""
"44","EE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Estonia","Less than 25 years","Percentage of active population","Total","15.0",""
"45","ES",2002,2.9620253164557,4.62025316455696,2.88607594936709,4.55696202531646,NA,1.87341772151899,1.94936708860759,1.81012658227848,1.78481012658228,1.60759493670886,1.63291139240506,1.92405063291139,1.72151898734177,1.9873417721519,3.24050632911392,0.20253164556962,0.113924050632911,0,2.9873417721519,NA,NA,NA,NA,NA,NA
"46","ES",2004,2.68421052631579,5.22368421052632,3.81578947368421,5.21052631578947,NA,1.86842105263158,1.89473684210526,1.84210526315789,1.80263157894737,1.67105263157895,1.48684210526316,1.84210526315789,1.38157894736842,2.07894736842105,2.65789473684211,0.105263157894737,0.0394736842105263,0,2.94736842105263,NA,NA,NA,NA,NA,NA
"47","ES",2006,3.1358024691358,5.09876543209877,3.58024691358025,5.33333333333333,NA,1.90123456790123,1.97530864197531,1.92592592592593,1.93827160493827,1.71604938271605,1.7037037037037,1.87654320987654,1.5679012345679,2.06172839506173,2.87654320987654,0.0864197530864197,0.0246913580246914,0,2.96296296296296,"Spain","Less than 25 years","Percentage of active population","Total","17.9",""
"48","ES",2008,2.86915887850467,5.23364485981308,3.42990654205607,5.10280373831776,NA,1.91588785046729,1.97196261682243,1.89719626168224,1.90654205607477,1.82242990654206,1.79439252336449,1.90654205607477,1.5607476635514,2,2.89719626168224,0.158878504672897,0.0841121495327103,0.0186915887850467,2.95327102803738,"Spain","Less than 25 years","Percentage of active population","Total","24.5",""
"49","ES",2010,3.02777777777778,4.47222222222222,2.60416666666667,4.79861111111111,NA,1.88888888888889,1.95833333333333,1.86805555555556,1.90277777777778,1.8125,1.8125,1.9375,1.71527777777778,1.98611111111111,2.84027777777778,0.166666666666667,0.0763888888888889,0.00694444444444444,2.95833333333333,"Spain","Less than 25 years","Percentage of active population","Total","41.5",""
"50","ES",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain","Less than 25 years","Percentage of active population","Total","52.9",""
"51","ES",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain","Less than 25 years","Percentage of active population","Total","53.2",""
